"state","year","union_hh_no","union_hh_yes"
"Alabama",2008,0.218842525299132,0.325941036912298
"Alaska",2008,0.248601039535425,0.289863506642738
"Arizona",2008,0.275308654787962,0.417489919302082
"Arkansas",2008,0.242626078770288,0.372846226429593
"California",2008,0.380945792910513,0.391911300540098
"Colorado",2008,0.34607903368467,0.43456172008319
"Connecticut",2008,0.389668515383409,0.460107546816988
"Delaware",2008,0.362675773730022,0.443082888788382
"District of Columbia",2008,0.713689058647771,0.536436518355398
"Florida",2008,0.329792163443443,0.4099860745348
"Georgia",2008,0.279178556930836,0.315693745616556
"Hawaii",2008,0.491964437690091,0.273770191551091
"Idaho",2008,0.256975827873043,0.183218295505294
"Illinois",2008,0.385059068497339,0.407167798055228
"Indiana",2008,0.303978684411549,0.448731014321312
"Iowa",2008,0.328056660443898,0.444583472763872
"Kansas",2008,0.29383147964275,0.274714583253728
"Kentucky",2008,0.271997470626425,0.257490003947534
"Louisiana",2008,0.257038575222625,0.1553528673577
"Maine",2008,0.366815478013331,0.372291942360137
"Maryland",2008,0.472694343354467,0.439716384358208
"Massachusetts",2008,0.456192277009741,0.48156699138126
"Michigan",2008,0.350458844544504,0.455629484859297
"Minnesota",2008,0.345323742548832,0.443222859694899
"Mississippi",2008,0.26196087118786,0.409981789806535
"Missouri",2008,0.32672103771236,0.43483919872947
"Montana",2008,0.33296264278527,0.356024618550102
"Nebraska",2008,0.262370787543555,0.392468280635492
"Nevada",2008,0.31096321889748,0.395002241251505
"New Hampshire",2008,0.36607730196652,0.381720516880008
"New Jersey",2008,0.377274406685862,0.376413451632552
"New Mexico",2008,0.423032895047478,0.382359177704597
"New York",2008,0.392515278998782,0.429842397814805
"North Carolina",2008,0.342923152723436,0.430320397381978
"North Dakota",2008,0.388304764097061,0.371552191651301
"Ohio",2008,0.368602625851369,0.382229887157033
"Oklahoma",2008,0.22566798034199,0.296130029158391
"Oregon",2008,0.337432205528652,0.424586689556599
"Pennsylvania",2008,0.35697136668784,0.419253990546979
"Rhode Island",2008,0.401642672710758,0.488613036356751
"South Carolina",2008,0.313327178035236,0.400678825515573
"South Dakota",2008,0.287744619247499,0.334387122549204
"Tennessee",2008,0.223804347664027,0.349923287463375
"Texas",2008,0.280957089449375,0.357345500603547
"Utah",2008,0.268716995752228,0.39284533706996
"Vermont",2008,0.485135964718834,0.500764636115326
"Virginia",2008,0.425549556894636,0.420826117757032
"Washington",2008,0.405836494550566,0.534465405863345
"West Virginia",2008,0.319022522405509,0.264074299246349
"Wisconsin",2008,0.392520469461617,0.411948534225141
"Wyoming",2008,0.152533795909789,0.346559988386124
"Alabama",2012,0.346710704745131,0.374262889546623
"Alaska",2012,0.438937501306418,0.373702471028864
"Arizona",2012,0.429529642011773,0.419012057567889
"Arkansas",2012,0.360749516002329,0.427443943404211
"California",2012,0.544581537064478,0.54501506512869
"Colorado",2012,0.48158502531761,0.512472328398586
"Connecticut",2012,0.516039613230372,0.551140703822315
"Delaware",2012,0.561567445732634,0.666464535123863
"District of Columbia",2012,0.806335052409499,0.851418182302643
"Florida",2012,0.485283391241898,0.487762661661029
"Georgia",2012,0.445803985399409,0.508652990930828
"Hawaii",2012,0.526670304113879,0.630566375886322
"Idaho",2012,0.239337966584612,0.319925572761599
"Illinois",2012,0.530243945093324,0.556041453152106
"Indiana",2012,0.413657248974182,0.470720344614932
"Iowa",2012,0.44435381923812,0.556088007509055
"Kansas",2012,0.35778702887781,0.477086891256413
"Kentucky",2012,0.366316190550546,0.391936960206405
"Louisiana",2012,0.424199848365238,0.402481553929445
"Maine",2012,0.443133085075235,0.542905847742952
"Maryland",2012,0.5641447914454,0.636090843536007
"Massachusetts",2012,0.536771452150464,0.558693199713854
"Michigan",2012,0.49915232672077,0.547115175443203
"Minnesota",2012,0.467994574460061,0.517012298920492
"Mississippi",2012,0.412834699294677,0.465452608653727
"Missouri",2012,0.411438666706074,0.447844465442156
"Montana",2012,0.390998587611931,0.417545191100952
"Nebraska",2012,0.349854088282896,0.503419323206446
"Nevada",2012,0.47113700538731,0.462174609170611
"New Hampshire",2012,0.445160885570118,0.501595903687326
"New Jersey",2012,0.508442413247602,0.551949874057077
"New Mexico",2012,0.428829889702947,0.480981096788399
"New York",2012,0.599942672627899,0.574559453800594
"North Carolina",2012,0.475722411883457,0.479448865713005
"North Dakota",2012,0.281856644915537,0.361476652028594
"Ohio",2012,0.457014762320901,0.510902110457858
"Oklahoma",2012,0.302378709109867,0.321146891158549
"Oregon",2012,0.514574556417755,0.479095571963516
"Pennsylvania",2012,0.450332536214525,0.479655303393014
"Rhode Island",2012,0.539537506412106,0.682764916936806
"South Carolina",2012,0.453565142905361,0.435166176116228
"South Dakota",2012,0.369226624668958,0.324627865389307
"Tennessee",2012,0.376783429501541,0.451582000405946
"Texas",2012,0.395280948402077,0.467177396778152
"Utah",2012,0.271448328667251,0.285993831814653
"Vermont",2012,0.584554138445849,0.664978919645346
"Virginia",2012,0.462479630900869,0.504394358389925
"Washington",2012,0.498001029777594,0.540371516482506
"West Virginia",2012,0.269969229365447,0.40550421328656
"Wisconsin",2012,0.452185796353154,0.544692114292768
"Wyoming",2012,0.201726538794658,0.294795387474689
"Alabama",2016,0.354847283864283,0.334184806910753
"Alaska",2016,0.319269841586735,0.362571076362485
"Arizona",2016,0.466757523093958,0.398457313421453
