"state","union_any","dem_proportion","rep_proportion","other_proportion","year"
"Alabama","union_hh_no",0.342396669329492,0.63730172209081,0.0203016085796982,2008
"Alabama","union_hh_yes",0.605674568931593,0.369798414988008,0.0245270160803992,2008
"Alaska","union_hh_no",0.310376658881958,0.595281345359338,0.0943419957587042,2008
"Alaska","union_hh_yes",0.410162614342265,0.589837385657735,0,2008
"Arizona","union_hh_no",0.441031765645837,0.548811171016334,0.0101570633378296,2008
"Arizona","union_hh_yes",0.490520820697296,0.488446963418857,0.0210322158838468,2008
"Arkansas","union_hh_no",0.399155925346627,0.575979080176772,0.0248649944766008,2008
"Arkansas","union_hh_yes",0.670016214713099,0.306100314431859,0.0238834708550425,2008
"California","union_hh_no",0.573908801577214,0.403119203013727,0.0229719954090592,2008
"California","union_hh_yes",0.602917137903378,0.374257523310156,0.0228253387864657,2008
"Colorado","union_hh_no",0.498166588131826,0.487270094431076,0.0145633174370981,2008
"Colorado","union_hh_yes",0.607895891206878,0.326267583762005,0.0658365250311169,2008
"Connecticut","union_hh_no",0.555615170742076,0.435922188429888,0.00846264082803611,2008
"Connecticut","union_hh_yes",0.670351922207504,0.310501988273256,0.0191460895192397,2008
"Delaware","union_hh_no",0.634439909377504,0.365560090622496,0,2008
"Delaware","union_hh_yes",0.772309746847059,0.200360250789213,0.0273300023637286,2008
"District of Columbia","union_hh_no",0.937660382533089,0.0623396174669106,0,2008
"District of Columbia","union_hh_yes",0.943867944644569,0.0561320553554306,0,2008
"Florida","union_hh_no",0.504826334973633,0.483794404823978,0.0113792602023886,2008
"Florida","union_hh_yes",0.620781125888405,0.367390032812132,0.0118288412994624,2008
"Georgia","union_hh_no",0.439963888845452,0.548216214121879,0.011819897032669,2008
"Georgia","union_hh_yes",0.600693152852132,0.372999963403404,0.0263068837444632,2008
"Hawaii","union_hh_no",0.72924019661042,0.247111309469166,0.0236484939204136,2008
"Hawaii","union_hh_yes",0.627247496494945,0.286361060995599,0.0863914425094554,2008
"Idaho","union_hh_no",0.340952569234307,0.637099027346824,0.0219484034188685,2008
"Idaho","union_hh_yes",0.385868870825699,0.508516012958712,0.105615116215589,2008
"Illinois","union_hh_no",0.574841415930319,0.40765350396411,0.0175050801055705,2008
"Illinois","union_hh_yes",0.652655185601685,0.332223172825302,0.0151216415730124,2008
"Indiana","union_hh_no",0.481378227797975,0.510153923375997,0.008467848826027,2008
"Indiana","union_hh_yes",0.628859348252583,0.360274032373883,0.0108666193735336,2008
