"xsite","zip","eviction_count","evict_pct","fully_vaccinated","vax_pct","pop_2019","white_2019","black_2019","hisp_2019","asian_2019","other_2019","renter_hh_2019","nonwhite_pct","white_pct","black_pct","hisp_pct","asian_pct","other_pct","majority_race","over_15_pop"
"PHOENIX","85035",2871,0.314285714285714,14259,0.329390838319204,59660,4125,4241,48519,488,2287,9135,93.085819644653,6.91418035534697,7.108615487764,81.325846463292,0.817968488099229,3.83338920549782,"HISPANIC",43289
"PHOENIX","85017",1827,0.256529064869419,11430,0.365748296054526,42656,7250,2538,28853,1945,2070,7122,83.0035633908477,16.9964366091523,5.94992498124531,67.6411290322581,4.55973368342086,4.85277569392348,"HISPANIC",31251
"PHOENIX","85301",3480,0.248553674737519,16607,0.333627980794343,68579,15606,6376,43533,882,2182,14001,77.2437626678721,22.7562373321279,9.29730675571239,63.4786159028274,1.28610799224252,3.18173201708978,"HISPANIC",49777
"INDIANAPOLIS","46214",1171,0.221528566023458,8813,0.449024303255719,24549,11284,8476,3108,514,1167,5286,54.0347875677217,45.9652124322783,34.5268646380708,12.6603934987169,2.09377164039268,4.75375779054137,"NO MAJORITY",19627
"INDIANAPOLIS","46225",246,0.220430107526882,2041,0.441201902291396,5577,4097,634,614,48,184,1116,26.5375649991035,73.4624350008965,11.3681190604268,11.0095033171956,0.860677783754707,3.29926483772638,"WHITE",4626
"PHOENIX","85033",1804,0.215970310068239,16703,0.359621926538346,64832,7875,2912,52309,287,1449,8353,87.8532206317868,12.1467793682132,4.49160908193485,80.6839215202369,0.442682625863771,2.23500740375123,"HISPANIC",46446
"PHOENIX","85023",1149,0.210980536173338,13632,0.504104725981806,34268,20569,1578,9140,1548,1433,5446,39.9760709700012,60.0239290299988,4.60487918758025,26.6721139255282,4.5173339558772,4.18174390101553,"WHITE",27042
"DALLAS","75247",43,0.205741626794258,889,1.12247474747475,792,312,378,63,0,39,209,60.6060606060606,39.3939393939394,47.7272727272727,7.95454545454545,0,4.92424242424242,"NO MAJORITY",792
"INDIANAPOLIS","46241",891,0.191695352839931,8071,0.342775843030663,31941,20016,4543,5975,281,1126,4648,37.3344604113835,62.6655395886165,14.2230988384835,18.706364860211,0.879747033593187,3.52524967909583,"WHITE",23546
"PHOENIX","85031",675,0.188758389261745,9326,0.384862991086167,33886,3930,1060,27987,119,790,3576,88.4022900312814,11.5977099687186,3.12813551319129,82.5916307619666,0.351177477424305,2.33134627869917,"HISPANIC",24232
