"QKEY","F_GENDER","JOKE1_W74","CANCUL1_W74"
100197,2,1,1
100260,1,2,2
100314,1,2,1
100363,2,2,1
100446,2,1,1
100637,2,2,1
100803,2,2,2
101437,2,2,2
101472,1,2,2
101493,1,2,2
102009,1,1,1
102932,1,1,1
103060,2,1,2
103379,1,2,2
103406,2,1,1
103519,1,1,1
103677,1,1,2
103956,2,1,1
104210,2,1,1
104272,1,1,1
104368,1,1,1
104491,2,2,1
104689,2,2,1
104727,1,2,1
104937,1,1,1
105124,1,1,1
105205,2,2,1
105269,1,1,1
105959,2,1,1
106068,1,1,1
106444,2,1,1
106590,2,2,2
106885,2,2,1
107023,2,1,1
107329,2,1,1
107612,2,2,1
107668,2,2,1
108035,1,2,2
108169,2,1,1
108348,2,1,1
108435,2,2,2
108592,2,1,1
108909,2,2,2
109143,2,2,1
109188,2,2,1
110041,1,2,2
110361,1,1,1
110550,1,2,2
111646,2,2,1
111665,2,1,1
112238,2,2,1
112371,2,2,2
112490,2,2,1
112495,2,1,1
112715,1,1,1
112984,2,1,1
113274,1,2,1
113412,2,2,2
113565,1,2,2
114058,1,1,1
114190,2,1,1
114197,2,2,1
114473,2,1,1
114671,1,2,2
114898,2,2,2
114970,2,1,1
115295,1,2,2
115546,1,2,2
115568,2,1,1
115650,2,2,2
115706,2,2,2
115973,2,1,1
116151,2,2,2
116182,1,2,2
116264,2,2,1
116439,2,2,2
116617,1,1,1
116832,1,2,2
116998,2,1,2
117214,1,1,1
117395,2,1,1
118060,2,1,1
118110,2,2,1
118414,2,2,2
118888,2,1,1
119121,2,1,1
119392,1,1,1
119548,2,2,2
119714,2,2,2
119910,1,1,1
120521,2,1,1
120873,2,1,1
121158,2,2,2
121186,2,1,1
121556,2,2,1
121582,2,2,2
122020,1,1,1
122033,2,1,1
122234,2,1,2
122265,1,2,1
122466,1,2,2
123191,1,1,1
123778,1,2,2
124032,2,2,2
124264,1,1,1
124561,1,2,1
124598,1,1,2
125280,2,2,1
125496,2,1,1
125634,1,1,1
126131,1,2,1
126190,1,1,1
126211,1,2,2
126380,1,1,1
126570,2,2,2
127160,2,2,2
127250,2,1,1
127284,2,2,2
127498,1,2,2
127800,2,2,1
128214,2,2,1
128285,1,1,2
128558,2,2,2
129046,1,2,2
129189,2,1,2
129622,2,1,1
130022,1,1,1
130287,1,1,1
130571,2,1,2
131599,1,2,2
131786,1,2,1
132246,1,2,2
132264,2,1,1
132478,2,2,1
132489,2,1,1
132973,2,2,1
133114,1,1,1
133550,2,2,1
133700,2,99,1
133978,2,1,1
134129,2,1,2
135146,1,2,2
135179,1,1,1
135317,1,1,2
135459,1,1,1
135751,1,1,1
135822,2,1,2
136015,2,2,1
136046,2,1,1
136316,2,2,1
136411,1,2,2
136999,2,2,1
137139,1,2,1
137886,2,2,1
138105,2,1,1
138284,2,2,2
139134,2,99,2
139467,2,2,1
139905,2,2,1
140200,2,1,1
140204,2,1,1
140444,1,2,2
140544,1,2,1
140639,1,2,1
141319,1,1,1
141471,2,1,2
141804,1,1,1
141878,2,1,1
142360,1,1,1
142398,2,1,1
142447,2,1,2
142838,2,1,1
143915,1,1,2
144036,2,2,2
144429,2,2,2
144736,2,1,1
145364,1,2,2
145887,2,2,1
146062,2,1,1
146170,1,2,1
146434,2,2,1
146637,2,1,1
146784,1,2,2
147121,2,1,1
147316,2,2,2
147654,1,1,1
147701,1,2,2
147763,2,1,2
149522,1,2,1
149866,2,2,2
150197,1,2,2
150381,2,1,2
150788,2,1,1
151130,2,2,1
151929,1,2,1
151972,1,2,2
152324,2,1,1
153346,1,2,2
153391,2,2,2
153863,2,1,1
154072,1,2,1
154578,2,1,1
154750,2,1,2
154874,2,1,1
154948,2,1,2
155464,2,1,1
155606,1,2,1
155832,2,2,2
155900,2,99,1
156200,1,2,1
156233,2,2,2
156615,2,1,1
156660,1,2,1
157348,2,2,2
157730,1,2,1
158144,2,1,1
158193,2,1,1
158469,2,1,2
159216,1,1,1
159562,1,1,2
159828,2,2,2
159997,1,2,1
160170,1,2,2
160193,1,1,1
160394,2,2,1
161130,2,2,1
161820,2,1,1
162119,2,1,2
162517,1,1,1
164283,2,1,1
164425,1,2,1
165171,1,2,2
165452,2,1,1
166094,1,2,1
166301,1,1,1
167094,2,2,2
167110,2,1,1
168336,1,1,1
169135,2,2,1
169249,2,2,1
169864,1,2,2
170940,2,2,2
171076,1,1,1
171264,1,1,1
172231,2,1,1
174032,1,2,2
175192,1,1,2
175363,1,2,1
175884,1,1,1
176183,1,2,2
176214,2,2,1
176308,2,2,1
176680,2,2,2
176824,1,2,1
176868,2,1,1
176890,1,1,1
176940,2,2,1
177211,2,1,1
177572,2,1,1
177818,2,2,2
178470,2,1,1
178550,2,1,1
179144,1,1,1
179396,2,1,2
179691,1,1,2
179909,1,1,1
179979,2,2,2
180286,1,2,2
181067,1,1,1
181573,2,2,1
181689,1,2,1
182775,1,1,1
183145,2,1,1
184045,2,1,1
184735,2,1,1
184778,1,2,2
185394,1,2,1
185435,1,2,2
185944,2,2,1
186170,1,2,1
186444,2,2,2
186902,1,2,1
186980,2,1,1
187312,2,1,1
187390,2,2,2
188109,1,1,1
188245,2,1,1
188340,1,2,1
188516,2,2,2
189053,2,2,1
189589,1,2,1
190519,2,1,1
190780,2,1,1
190961,2,2,1
191032,2,1,1
191063,2,1,1
191081,1,2,2
191261,1,1,1
191336,1,1,1
192213,1,2,2
192294,2,1,1
192396,2,1,1
192474,2,2,2
192568,1,2,2
192753,2,2,2
192798,1,2,2
193343,1,2,2
193408,1,2,2
193466,2,1,2
193713,1,1,1
194284,1,2,2
194490,2,1,1
194634,2,2,2
194718,2,1,2
195349,1,2,2
195373,1,2,2
195400,1,2,2
196610,2,1,1
196813,2,1,1
197067,1,99,1
197087,1,1,2
197168,1,1,1
197174,2,1,2
197397,1,2,1
197580,2,2,1
197934,1,2,2
197992,2,1,1
198176,2,1,1
198205,1,2,2
198295,1,1,2
198321,1,2,2
198449,1,1,1
198476,2,2,2
198571,1,1,1
198718,2,1,1
198848,1,1,2
198946,2,1,1
199454,2,2,1
199474,1,2,2
199510,1,2,2
199964,2,2,2
200312,1,2,2
200452,2,1,1
200761,1,2,2
200943,1,99,1
201095,1,2,2
201153,2,1,1
201177,1,2,1
202145,1,2,1
202467,2,2,2
202545,1,1,2
202548,2,2,1
202800,1,1,1
202849,1,1,2
202908,2,1,1
203133,1,1,1
203464,1,2,2
203469,2,2,1
203617,2,1,1
203921,2,2,1
204164,1,2,2
204354,1,2,2
204536,2,2,1
204601,2,2,2
204832,2,2,2
205136,2,1,1
205459,2,2,2
205490,2,1,2
205566,2,1,1
205600,1,1,1
206457,1,2,2
207436,2,2,2
207452,2,1,2
207502,2,2,2
207573,1,99,2
209123,2,1,2
209250,2,1,1
209589,1,2,1
210108,2,1,1
210564,1,2,2
210743,2,2,1
210776,2,1,1
211074,1,1,2
211504,1,2,1
211788,2,1,1
212131,1,2,2
212322,1,2,1
212492,1,2,1
212680,1,1,2
213541,2,2,2
213671,2,1,1
214437,1,1,1
214495,2,99,2
214562,1,2,1
214778,2,2,1
215767,2,2,2
216110,1,2,2
216153,1,2,1
217429,2,1,1
217659,2,2,1
218055,1,2,1
218205,2,1,1
218656,2,2,1
218837,2,1,1
219063,2,1,1
219150,1,2,2
219223,2,2,2
219306,2,2,2
219998,2,1,1
221186,1,1,1
221448,1,2,2
222354,2,1,1
222755,1,1,1
223061,2,1,1
223257,1,1,1
223496,1,1,1
224561,2,1,1
224776,2,1,1
224870,2,2,2
225476,2,1,1
225532,1,1,1
225546,1,1,1
226237,2,1,1
227099,1,1,2
227278,1,2,2
227805,1,1,1
227892,2,2,2
228761,1,2,1
228797,2,1,2
229101,2,1,1
229561,2,1,2
230027,2,2,1
230098,2,2,1
230582,1,2,1
230587,1,2,1
230613,2,2,2
230747,2,1,1
230801,1,1,1
231013,2,1,1
233364,2,2,1
233755,2,1,1
234001,2,2,2
234064,1,1,1
234462,1,2,2
234741,1,2,2
234783,1,2,2
234834,2,2,1
234858,2,1,1
235086,1,2,2
235304,2,2,1
235397,1,2,2
235578,1,2,1
235839,2,2,2
235880,1,1,1
236140,2,2,1
