"qkey","education","division","ideology","gender","race","cancul1","crimsent","weight_w92"
100260,"College graduate","Pacific","Very Conservative","Man","White","Punish","Too little time",0.207346665063957
100314,"Some College","East North Central","Moderate","Man","White","Accountable","About the right amount",0.381441343952958
100363,"Postgraduate","Middle Atlantic","Moderate","Woman","White","Accountable","About the right amount",0.604085740615121
100637,"Associate's Degree","South Atlantic","Conservative","Woman","White","Accountable","Too little time",0.741445792230774
100803,"College graduate","West North Central","Conservative","Woman","White","Punish","Too much time",0.352384556052138
101437,"Associate's Degree","West North Central","Conservative","Woman","White","Punish","About the right amount",0.398121119783231
101493,"Some College","Pacific","Conservative","Man","Hispanic","Punish","Too little time",0.254317041361491
103060,"Associate's Degree","South Atlantic",NA,"Woman","White","Punish","Too much time",0.468626926193675
103094,"High School Graduate","Middle Atlantic","Moderate","Woman","White",NA,"Too little time",0.750206142302661
103379,"Some College","South Atlantic","Conservative","Man","White","Punish","Too little time",0.556482699335602
103406,"Postgraduate","South Atlantic","Liberal","Woman","White","Accountable","About the right amount",0.296144632577972
103519,"Postgraduate","East North Central","Moderate","Man","White","Accountable","Too little time",0.16609329761351
103677,"Some College","Middle Atlantic","Very Conservative","Man","White","Punish","About the right amount",0.512154484898133
103956,"College graduate","East North Central","Liberal","Woman","White","Accountable","Too little time",0.438409778219397
104210,"High School Graduate","Middle Atlantic","Very Liberal","Woman","White","Accountable","Too much time",0.926964412960818
104272,"Some College","East North Central","Liberal","Man","White","Accountable","Too much time",0.573598208681706
104368,"High School Graduate","West South Central","Conservative","Man","White","Accountable","About the right amount",1.04170835546914
104491,"Some College","Pacific","Liberal","Woman","White","Accountable","Too much time",0.765035873932143
104689,"High School Graduate","East North Central","Moderate","Woman","White","Accountable","About the right amount",0.501833447931484
104727,"High School Graduate","East North Central","Conservative","Man","White","Accountable","Too little time",2.04934037247493
105124,"Postgraduate","South Atlantic","Conservative","Man","White","Accountable","About the right amount",0.259747512460924
105205,"Associate's Degree","East North Central","Very Conservative","Woman","White","Accountable","Too little time",0.434000487124397
105269,"Postgraduate","West North Central","Moderate","Man","White","Accountable","About the right amount",0.339615058548449
106444,"College graduate","Middle Atlantic","Moderate","Woman","White","Accountable","Too much time",0.543027239354474
106590,"Postgraduate","Pacific","Moderate","Woman","White","Punish","About the right amount",0.454204338043495
106885,"College graduate","Pacific","Very Conservative","Woman","Hispanic","Accountable","Too much time",0.302644110329994
107023,"Associate's Degree","South Atlantic","Liberal","Woman","Black","Accountable","Too little time",0.606943451205374
107612,"Some College","West South Central","Moderate","Woman","Refused","Accountable","About the right amount",0.403713729422905
107668,"College graduate","West South Central","Moderate","Woman","White","Accountable","About the right amount",0.25914427493069
108035,"Less Than High School","Mountain","Very Conservative","Man","White","Punish","Too little time",1.13183983636259
108348,"Some College","Mountain","Conservative","Woman","White","Accountable","Too little time",0.423550724402454
108435,"Postgraduate","East North Central","Conservative","Woman","White","Punish","Too little time",0.494255846189745
108592,"Associate's Degree","East North Central","Moderate","Woman","Black","Accountable","Too little time",0.769528557309283
108909,"Less Than High School","East North Central","Moderate","Woman","White","Punish","Too much time",7.37829486596566
109143,"High School Graduate","South Atlantic","Conservative","Woman","White","Accountable","About the right amount",0.569450367605025
109188,"Postgraduate","East North Central","Moderate","Woman","White","Accountable","Too much time",0.249116384900176
110041,"Postgraduate","South Atlantic","Very Conservative","Man","White","Punish","Too little time",0.277659578788461
110550,"College graduate","East South Central","Moderate","Man","White","Punish","Too little time",0.320815861427077
111646,"College graduate","Mountain","Moderate","Woman","White","Accountable","About the right amount",0.427551188156159
111665,"Some College","Pacific","Moderate","Woman","Hispanic","Accountable","Too little time",1.64254545376288
112238,"High School Graduate","Mountain","Conservative","Woman","White","Accountable","Too little time",0.644354401800187
112371,"Some College","Middle Atlantic","Moderate","Woman","Hispanic","Punish","Too little time",0.625407251955822
112613,"Postgraduate","South Atlantic","Moderate","Woman","White",NA,"Too little time",0.311484264210608
112984,"College graduate","South Atlantic","Very Liberal","Woman","White","Accountable","About the right amount",0.276105089610242
113274,"College graduate","New England","Conservative","Man","Asian","Accountable","Too much time",0.341268687135738
113412,"Some College","West South Central","Moderate","Woman","White","Punish","About the right amount",0.47744387294133
113565,"Some College","East South Central","Conservative","Man","White","Punish","Too little time",0.285655282089034
114197,"College graduate","Middle Atlantic","Moderate","Woman","White","Accountable","Too much time",0.708172738517613
114473,"Postgraduate","Middle Atlantic","Very Conservative","Woman","White","Accountable","About the right amount",0.491118628525183
114671,"Postgraduate","Pacific","Conservative","Man","White","Punish","Too little time",0.250809146274307
114898,"Postgraduate","West North Central","Very Conservative","Woman","White","Punish","About the right amount",0.4291136302615
115295,"Associate's Degree","Pacific","Conservative","Man","Other","Punish","About the right amount",0.317883930727381
115546,"College graduate","Mountain","Moderate","Man","White","Punish","About the right amount",0.493323451433502
115706,"High School Graduate","East North Central","Very Conservative","Woman","White","Punish","Too little time",1.371907057528
116151,"High School Graduate","Mountain","Very Conservative","Woman","White","Punish","About the right amount",1.11448090430422
116182,"Some College","Mountain","Conservative","Man","White","Punish","Too little time",0.448652830313865
116264,"Postgraduate","Middle Atlantic","Moderate","Woman","White","Accountable","About the right amount",0.664552260843229
116439,"College graduate","Mountain","Moderate","Woman","White","Punish","About the right amount",0.291592114700462
116617,"Postgraduate","East South Central","Moderate","Man","White","Accountable","About the right amount",0.170624707776313
116832,"College graduate","East North Central","Very Conservative","Man","White","Punish","Too little time",0.219391594786108
116998,"Postgraduate","East North Central","Liberal","Woman","Black","Punish","Too little time",0.568112035293672
117214,"Postgraduate","New England","Very Liberal","Man","White","Accountable","Too much time",0.34568890657081
117395,"College graduate","Pacific","Liberal","Woman","White","Accountable","Too much time",0.184726563009353
118060,"College graduate","South Atlantic","Conservative","Woman","White","Accountable","About the right amount",0.533018725128873
118110,"High School Graduate","East North Central","Liberal","Woman","White","Accountable","About the right amount",1.27397730527956
118414,"High School Graduate","East North Central","Very Conservative","Woman","White","Punish","Too little time",1.05958484420512
118888,"College graduate","Mountain","Very Liberal","Woman","White","Accountable","About the right amount",0.358929764395358
119121,"Some College","East South Central","Liberal","Woman","White","Accountable","Too much time",0.650952965343274
119392,"High School Graduate","East North Central","Moderate","Man","White","Accountable","Too little time",1.0792096122513
119548,"High School Graduate","New England","Conservative","Woman","White","Punish","Too little time",0.55422627793801
119714,"Associate's Degree","West North Central","Moderate","Woman","White","Punish","Too much time",0.597566439086857
120343,"Some College","Mountain","Conservative","Woman","White",NA,"About the right amount",0.407303700510858
121158,"College graduate","West South Central","Conservative","Woman","White","Punish","Too little time",0.327937813766189
121582,"Postgraduate","Pacific","Very Conservative","Woman","Other","Punish","About the right amount",0.488079488420634
122265,"College graduate","Middle Atlantic","Conservative","Man","White","Accountable","About the right amount",0.486132642869842
122466,"College graduate","Pacific","Moderate","Man","White","Punish","About the right amount",0.237405370899792
124032,"Some College","East North Central","Conservative","Woman","White","Punish","Too little time",0.535589471761967
124895,"Some College","Pacific","Moderate","Woman","White",NA,NA,0.423703682180011
125634,"College graduate","East South Central","Very Conservative","Man","White","Accountable","Too little time",0.36131966865763
126190,"College graduate","Middle Atlantic","Moderate","Man","White","Accountable","Too much time",0.218788667017137
126211,"High School Graduate","South Atlantic","Very Conservative","Man","White","Punish","About the right amount",1.27029960366901
126570,"Some College","West North Central","Conservative","Woman","White","Punish","About the right amount",0.784269954391511
127160,"Postgraduate","East South Central","Very Conservative","Woman","Other","Punish","About the right amount",1.06000676081392
127250,"High School Graduate","Mountain","Conservative","Woman","White","Accountable","Too little time",0.740854646186733
127284,"Some College","Pacific","Moderate","Woman","White","Punish","About the right amount",0.403664231807962
127498,"College graduate","East North Central","Moderate","Man","White","Punish","About the right amount",0.901469356191501
127800,"Associate's Degree","West North Central","Moderate","Woman","White","Accountable","About the right amount",0.481876888770897
128285,"Postgraduate","Middle Atlantic","Liberal","Man","Other","Punish","About the right amount",0.220414021830467
128558,"High School Graduate","South Atlantic","Conservative","Woman","White","Punish","About the right amount",0.816750182958901
129046,"College graduate","Mountain","Conservative","Man","White","Punish","About the right amount",0.360941150935507
129189,"Postgraduate","South Atlantic","Very Conservative","Woman","White","Punish","Too much time",0.479852496848544
130571,"Associate's Degree","Mountain","Conservative","Woman","Hispanic","Punish","Too much time",0.359099107397232
131786,"Postgraduate","Pacific","Conservative","Man","White","Accountable","About the right amount",0.508104396237343
132240,"College graduate","Middle Atlantic","Conservative","Woman","White",NA,"About the right amount",0.428212386264546
132246,"Some College","South Atlantic","Conservative","Man","Refused","Punish","Too much time",0.80283407358184
132264,"Postgraduate","East North Central","Moderate","Woman","White","Accountable","Too much time",0.444057312469193
132973,"High School Graduate","Pacific","Moderate","Woman","White","Accountable","Too little time",0.760113076396597
133114,"Postgraduate","South Atlantic","Moderate","Man","White","Accountable","About the right amount",0.208647997833022
133700,"High School Graduate","Middle Atlantic","Moderate","Woman","White","Accountable","Too little time",0.965299832305793
134129,"Associate's Degree","West South Central","Moderate","Woman","White","Punish","Too much time",0.430936959074845
135146,"College graduate","East North Central","Conservative","Man","White","Punish","Too little time",0.214376465318774
135751,"Postgraduate","New England","Liberal","Man","White","Accountable","Too much time",0.315493025048362
135822,"High School Graduate","Middle Atlantic","Very Conservative","Woman","White","Punish","About the right amount",0.439127964487186
136316,"Associate's Degree","South Atlantic","Moderate","Woman","White","Accountable","About the right amount",0.391078626957737
136411,"College graduate","South Atlantic","Moderate","Man","White","Punish","Too much time",0.318373643910119
136999,"Some College","Middle Atlantic","Moderate","Woman","White","Accountable","Too much time",0.34900795115639
137886,"Postgraduate","Middle Atlantic","Moderate","Woman","White","Accountable","Too little time",0.343042599083964
138284,"College graduate","West North Central","Moderate","Woman","White","Punish",NA,0.29672946928282
139134,"College graduate","East South Central","Very Conservative","Woman","White","Punish",NA,0.390017870513547
139467,"Associate's Degree","West North Central","Conservative","Woman","White","Accountable","About the right amount",0.294660493891919
139905,"Postgraduate","New England","Liberal","Woman","White","Accountable","Too much time",0.669423463294247
141319,"High School Graduate","West North Central","Very Liberal","Man","Black","Accountable","Too much time",2.14554547072778
141471,"Associate's Degree","Middle Atlantic","Conservative","Woman","White","Punish","About the right amount",0.582077515660101
