"GEOID","NAME","variable","estimate","moe"
"05001","ZCTA5 05001","B25071_001",35.4,4.8
"05031","ZCTA5 05031","B25071_001",NA,NA
"05032","ZCTA5 05032","B25071_001",28,5.6
"05033","ZCTA5 05033","B25071_001",36.2,3.5
"05034","ZCTA5 05034","B25071_001",29.4,7.3
"05035","ZCTA5 05035","B25071_001",42.8,3.3
"05036","ZCTA5 05036","B25071_001",22.8,2.4
"05037","ZCTA5 05037","B25071_001",NA,NA
"05038","ZCTA5 05038","B25071_001",27.9,7.2
"05039","ZCTA5 05039","B25071_001",41.1,15
"05040","ZCTA5 05040","B25071_001",9,NA
"05041","ZCTA5 05041","B25071_001",31.3,42.3
"05042","ZCTA5 05042","B25071_001",20.3,9.6
"05043","ZCTA5 05043","B25071_001",25.2,15.8
"05045","ZCTA5 05045","B25071_001",28.3,7.4
"05046","ZCTA5 05046","B25071_001",36.1,3.1
"05048","ZCTA5 05048","B25071_001",44.6,8.9
"05050","ZCTA5 05050","B25071_001",22.1,1.3
"05051","ZCTA5 05051","B25071_001",23,2
"05052","ZCTA5 05052","B25071_001",27.1,33.6
"05053","ZCTA5 05053","B25071_001",13.6,21.1
"05055","ZCTA5 05055","B25071_001",24.6,6.5
"05056","ZCTA5 05056","B25071_001",21.3,45.6
"05058","ZCTA5 05058","B25071_001",51,NA
"05059","ZCTA5 05059","B25071_001",NA,NA
"05060","ZCTA5 05060","B25071_001",33.9,7.2
"05061","ZCTA5 05061","B25071_001",25,19.6
"05062","ZCTA5 05062","B25071_001",51,NA
"05065","ZCTA5 05065","B25071_001",34.8,5.3
"05067","ZCTA5 05067","B25071_001",NA,NA
"05068","ZCTA5 05068","B25071_001",30.4,7
"05069","ZCTA5 05069","B25071_001",44.6,8
"05070","ZCTA5 05070","B25071_001",30.6,15.7
"05071","ZCTA5 05071","B25071_001",NA,NA
"05072","ZCTA5 05072","B25071_001",27.8,4.1
"05075","ZCTA5 05075","B25071_001",26.7,28.2
"05076","ZCTA5 05076","B25071_001",32.5,45.3
"05077","ZCTA5 05077","B25071_001",26.8,3.5
"05079","ZCTA5 05079","B25071_001",27.5,37.6
"05081","ZCTA5 05081","B25071_001",28.1,3
"05083","ZCTA5 05083","B25071_001",13.6,51.9
"05084","ZCTA5 05084","B25071_001",NA,NA
"05086","ZCTA5 05086","B25071_001",22.1,14.1
"05089","ZCTA5 05089","B25071_001",30.1,8.4
"05091","ZCTA5 05091","B25071_001",19.2,2.2
"05101","ZCTA5 05101","B25071_001",30.9,4.5
"05141","ZCTA5 05141","B25071_001",NA,NA
"05142","ZCTA5 05142","B25071_001",51,NA
"05143","ZCTA5 05143","B25071_001",42.7,6
"05146","ZCTA5 05146","B25071_001",40.5,11.4
"05148","ZCTA5 05148","B25071_001",28.2,3.7
"05149","ZCTA5 05149","B25071_001",28.2,1.6
"05150","ZCTA5 05150","B25071_001",51,NA
"05151","ZCTA5 05151","B25071_001",32.5,59.9
"05152","ZCTA5 05152","B25071_001",29.6,26.2
"05153","ZCTA5 05153","B25071_001",30.4,6.5
"05154","ZCTA5 05154","B25071_001",33.8,15
"05155","ZCTA5 05155","B25071_001",28.9,7.5
"05156","ZCTA5 05156","B25071_001",33.6,8.4
"05158","ZCTA5 05158","B25071_001",17.6,3.2
"05161","ZCTA5 05161","B25071_001",25,11.4
"05201","ZCTA5 05201","B25071_001",27.8,2.1
"05250","ZCTA5 05250","B25071_001",22,4.5
"05251","ZCTA5 05251","B25071_001",27.6,2.9
"05252","ZCTA5 05252","B25071_001",NA,NA
"05253","ZCTA5 05253","B25071_001",51,NA
"05254","ZCTA5 05254","B25071_001",NA,NA
"05255","ZCTA5 05255","B25071_001",27,2.8
"05257","ZCTA5 05257","B25071_001",28.6,6.6
"05260","ZCTA5 05260","B25071_001",NA,NA
"05261","ZCTA5 05261","B25071_001",35.8,68.7
"05262","ZCTA5 05262","B25071_001",25.4,6.2
"05301","ZCTA5 05301","B25071_001",33.8,3.4
"05340","ZCTA5 05340","B25071_001",15.5,14.4
"05341","ZCTA5 05341","B25071_001",51,NA
"05342","ZCTA5 05342","B25071_001",32.5,50.9
"05343","ZCTA5 05343","B25071_001",24.2,35.1
"05345","ZCTA5 05345","B25071_001",31,6.2
"05346","ZCTA5 05346","B25071_001",28.1,1.9
"05350","ZCTA5 05350","B25071_001",25,9
"05352","ZCTA5 05352","B25071_001",18.3,45.6
"05353","ZCTA5 05353","B25071_001",21.1,5.4
"05354","ZCTA5 05354","B25071_001",27.9,7.4
"05355","ZCTA5 05355","B25071_001",24,18
"05356","ZCTA5 05356","B25071_001",24,4.8
"05358","ZCTA5 05358","B25071_001",27.5,17.2
"05359","ZCTA5 05359","B25071_001",28.4,21.7
"05360","ZCTA5 05360","B25071_001",18.4,4
"05361","ZCTA5 05361","B25071_001",24.9,3
"05362","ZCTA5 05362","B25071_001",NA,NA
"05363","ZCTA5 05363","B25071_001",27.5,11.6
"05401","ZCTA5 05401","B25071_001",36.7,3.1
"05403","ZCTA5 05403","B25071_001",30.7,3.8
"05404","ZCTA5 05404","B25071_001",31.9,3.4
"05405","ZCTA5 05405","B25071_001",NA,NA
"05408","ZCTA5 05408","B25071_001",27.5,3.1
"05439","ZCTA5 05439","B25071_001",NA,NA
"05440","ZCTA5 05440","B25071_001",28.5,19.8
"05441","ZCTA5 05441","B25071_001",17.8,0.5
"05442","ZCTA5 05442","B25071_001",42.5,54.7
"05443","ZCTA5 05443","B25071_001",26.6,6.4
"05444","ZCTA5 05444","B25071_001",22.7,2.5
"05445","ZCTA5 05445","B25071_001",22.6,8.5
"05446","ZCTA5 05446","B25071_001",33.3,3.9
"05447","ZCTA5 05447","B25071_001",NA,NA
"05448","ZCTA5 05448","B25071_001",NA,NA
"05450","ZCTA5 05450","B25071_001",25.1,5.5
"05452","ZCTA5 05452","B25071_001",28.9,4
"05454","ZCTA5 05454","B25071_001",21.6,4
"05455","ZCTA5 05455","B25071_001",15.5,15
"05456","ZCTA5 05456","B25071_001",25.9,9.7
"05457","ZCTA5 05457","B25071_001",30,7.9
"05458","ZCTA5 05458","B25071_001",34.8,8.4
"05459","ZCTA5 05459","B25071_001",30,28.6
"05461","ZCTA5 05461","B25071_001",30.6,5.3
"05462","ZCTA5 05462","B25071_001",19.4,3.4
"05463","ZCTA5 05463","B25071_001",51,NA
"05464","ZCTA5 05464","B25071_001",32.7,11.9
"05465","ZCTA5 05465","B25071_001",28.7,5.6
"05468","ZCTA5 05468","B25071_001",31.3,4.7
"05471","ZCTA5 05471","B25071_001",49.2,24.6
"05472","ZCTA5 05472","B25071_001",28.5,7
"05473","ZCTA5 05473","B25071_001",23.4,4.7
"05474","ZCTA5 05474","B25071_001",18.6,11.8
"05476","ZCTA5 05476","B25071_001",29.6,7.6
"05477","ZCTA5 05477","B25071_001",21.7,14
"05478","ZCTA5 05478","B25071_001",27.7,2.5
"05481","ZCTA5 05481","B25071_001",NA,NA
"05482","ZCTA5 05482","B25071_001",34.3,10.2
"05483","ZCTA5 05483","B25071_001",23.7,23.7
"05485","ZCTA5 05485","B25071_001",NA,NA
"05486","ZCTA5 05486","B25071_001",22.4,2.3
"05487","ZCTA5 05487","B25071_001",19.4,6.7
"05488","ZCTA5 05488","B25071_001",31.7,3.7
"05489","ZCTA5 05489","B25071_001",22.8,3.5
"05491","ZCTA5 05491","B25071_001",30,3.7
"05492","ZCTA5 05492","B25071_001",28.3,20.6
"05494","ZCTA5 05494","B25071_001",28.2,46.9
"05495","ZCTA5 05495","B25071_001",38.3,7.5
"05602","ZCTA5 05602","B25071_001",27.8,2.3
"05640","ZCTA5 05640","B25071_001",23,10.3
"05641","ZCTA5 05641","B25071_001",28.2,3.3
"05647","ZCTA5 05647","B25071_001",37.6,11.3
"05648","ZCTA5 05648","B25071_001",27.7,35.9
"05649","ZCTA5 05649","B25071_001",NA,NA
"05650","ZCTA5 05650","B25071_001",22.1,5.3
"05651","ZCTA5 05651","B25071_001",51,NA
"05652","ZCTA5 05652","B25071_001",20.6,4.2
"05653","ZCTA5 05653","B25071_001",26.9,12
"05654","ZCTA5 05654","B25071_001",30.7,10
"05655","ZCTA5 05655","B25071_001",24.2,11.2
"05656","ZCTA5 05656","B25071_001",39.7,8.5
"05657","ZCTA5 05657","B25071_001",NA,NA
"05658","ZCTA5 05658","B25071_001",24.2,16.5
"05660","ZCTA5 05660","B25071_001",31.3,5.1
"05661","ZCTA5 05661","B25071_001",26.7,3.6
"05663","ZCTA5 05663","B25071_001",27.4,5.3
"05664","ZCTA5 05664","B25071_001",NA,NA
"05667","ZCTA5 05667","B25071_001",31.7,6.7
"05669","ZCTA5 05669","B25071_001",21.3,6.1
"05672","ZCTA5 05672","B25071_001",31.4,7.7
"05673","ZCTA5 05673","B25071_001",25.2,3.8
"05674","ZCTA5 05674","B25071_001",30.3,12.8
"05675","ZCTA5 05675","B25071_001",25,14.6
"05676","ZCTA5 05676","B25071_001",25.9,2.1
"05677","ZCTA5 05677","B25071_001",24.8,6.9
"05678","ZCTA5 05678","B25071_001",NA,NA
"05679","ZCTA5 05679","B25071_001",36.7,27.3
"05680","ZCTA5 05680","B25071_001",24.8,14
"05681","ZCTA5 05681","B25071_001",NA,NA
"05682","ZCTA5 05682","B25071_001",28.8,12.7
"05701","ZCTA5 05701","B25071_001",31.7,1.8
"05730","ZCTA5 05730","B25071_001",34.2,9.1
"05732","ZCTA5 05732","B25071_001",51,NA
"05733","ZCTA5 05733","B25071_001",27.6,3.7
"05734","ZCTA5 05734","B25071_001",21.8,4.5
"05735","ZCTA5 05735","B25071_001",39.6,19.3
"05736","ZCTA5 05736","B25071_001",43.2,12.8
"05737","ZCTA5 05737","B25071_001",31.3,13.4
"05738","ZCTA5 05738","B25071_001",23.3,10.5
"05739","ZCTA5 05739","B25071_001",24.7,4.1
"05740","ZCTA5 05740","B25071_001",NA,NA
"05742","ZCTA5 05742","B25071_001",32.2,8.1
"05743","ZCTA5 05743","B25071_001",28.2,3
"05744","ZCTA5 05744","B25071_001",51,NA
"05747","ZCTA5 05747","B25071_001",21.6,10
"05748","ZCTA5 05748","B25071_001",22.5,14.3
"05751","ZCTA5 05751","B25071_001",30.5,22.2
"05753","ZCTA5 05753","B25071_001",29.3,3.9
"05757","ZCTA5 05757","B25071_001",28.5,3.6
"05758","ZCTA5 05758","B25071_001",51,NA
"05759","ZCTA5 05759","B25071_001",24.1,3.3
"05760","ZCTA5 05760","B25071_001",23.3,2.5
"05761","ZCTA5 05761","B25071_001",31.9,40.3
"05762","ZCTA5 05762","B25071_001",18.8,16.5
"05763","ZCTA5 05763","B25071_001",31.1,7.8
"05764","ZCTA5 05764","B25071_001",29.2,5.8
"05765","ZCTA5 05765","B25071_001",23.3,2.3
"05766","ZCTA5 05766","B25071_001",25,11.1
"05767","ZCTA5 05767","B25071_001",29.9,7.6
"05769","ZCTA5 05769","B25071_001",22.7,8.7
"05770","ZCTA5 05770","B25071_001",32.8,2.7
"05772","ZCTA5 05772","B25071_001",20.6,13.1
"05773","ZCTA5 05773","B25071_001",19.6,3.5
"05774","ZCTA5 05774","B25071_001",24,15.6
"05775","ZCTA5 05775","B25071_001",36.6,15.6
"05776","ZCTA5 05776","B25071_001",30,14.9
"05777","ZCTA5 05777","B25071_001",25.8,9.2
"05778","ZCTA5 05778","B25071_001",19.2,7.4
"05819","ZCTA5 05819","B25071_001",33.4,4
"05820","ZCTA5 05820","B25071_001",51,NA
"05821","ZCTA5 05821","B25071_001",27.5,23.2
"05822","ZCTA5 05822","B25071_001",28.6,4.8
"05824","ZCTA5 05824","B25071_001",18.6,3.3
"05825","ZCTA5 05825","B25071_001",NA,NA
"05826","ZCTA5 05826","B25071_001",31.1,32.5
"05827","ZCTA5 05827","B25071_001",19.5,68.5
"05828","ZCTA5 05828","B25071_001",19.5,5.2
"05829","ZCTA5 05829","B25071_001",27.5,17.3
"05830","ZCTA5 05830","B25071_001",19.1,14.2
"05832","ZCTA5 05832","B25071_001",13.8,41.4
"05833","ZCTA5 05833","B25071_001",NA,NA
"05836","ZCTA5 05836","B25071_001",26,23.2
"05837","ZCTA5 05837","B25071_001",51,NA
"05839","ZCTA5 05839","B25071_001",30.8,14.2
"05841","ZCTA5 05841","B25071_001",28.3,11.7
"05842","ZCTA5 05842","B25071_001",26.3,6.7
"05843","ZCTA5 05843","B25071_001",23.9,5.5
"05845","ZCTA5 05845","B25071_001",34.5,20.7
"05846","ZCTA5 05846","B25071_001",31.6,4.1
"05847","ZCTA5 05847","B25071_001",23.3,4
"05850","ZCTA5 05850","B25071_001",NA,NA
"05851","ZCTA5 05851","B25071_001",36.6,5.1
"05853","ZCTA5 05853","B25071_001",48.8,27.9
"05855","ZCTA5 05855","B25071_001",33.6,8.5
"05857","ZCTA5 05857","B25071_001",51,NA
"05858","ZCTA5 05858","B25071_001",NA,NA
"05859","ZCTA5 05859","B25071_001",30.4,6.7
"05860","ZCTA5 05860","B25071_001",32.4,4.1
"05862","ZCTA5 05862","B25071_001",29.3,27.6
"05866","ZCTA5 05866","B25071_001",36.7,36.1
"05867","ZCTA5 05867","B25071_001",22.9,19
"05868","ZCTA5 05868","B25071_001",NA,NA
"05871","ZCTA5 05871","B25071_001",33,6.4
"05872","ZCTA5 05872","B25071_001",27.9,12
"05873","ZCTA5 05873","B25071_001",13.5,2.9
"05874","ZCTA5 05874","B25071_001",38.2,3.2
"05875","ZCTA5 05875","B25071_001",33.2,23.8
"05901","ZCTA5 05901","B25071_001",NA,NA
"05902","ZCTA5 05902","B25071_001",NA,NA
"05903","ZCTA5 05903","B25071_001",24.6,15
"05904","ZCTA5 05904","B25071_001",22.9,12.4
"05905","ZCTA5 05905","B25071_001",34,10
"05906","ZCTA5 05906","B25071_001",44.6,17.6
"05907","ZCTA5 05907","B25071_001",NA,NA
